NIL,Nome,Femmine,Maschi,Totale,Totale_Femmine,Totale_Maschi,Totale_Milano
1,Duomo,8754,7854,16608,721077,675596,1396673
2,Brera,9801,8493,18294,721077,675596,1396673
3,Giardini P.ta Venezia,23,20,43,721077,675596,1396673
4,Guastalla,8424,7104,15528,721077,675596,1396673
5,Porta Vigentina - Porta Lodovica,7183,6365,13548,721077,675596,1396673
6,Porta Ticinese - Conca del Naviglio,10598,9401,19999,721077,675596,1396673
7,Magenta - S.Vittore,9575,8461,18036,721077,675596,1396673
9,Porta Garibaldi - Porta Nuova,3082,2839,5921,721077,675596,1396673
10,Stazione Centrale - Ponte Seveso,8885,9525,18410,721077,675596,1396673
11,Isola,11553,11088,22641,721077,675596,1396673
12,Maciachini - Maggiolina,13547,12550,26097,721077,675596,1396673
13,Greco - Segnano,8150,7987,16137,721077,675596,1396673
14,Niguarda - Caâ€™ Granda - Prato Centenaro - Q.re Fulvio Testi,19065,17096,36161,721077,675596,1396673
15,Bicocca,4366,4377,8743,721077,675596,1396673
16,Gorla - Precotto,15100,14566,29666,721077,675596,1396673
17,Adriano,8523,9499,18022,721077,675596,1396673
18,Cimiano - Rottole - Q.re Feltre,10306,9259,19565,721077,675596,1396673
19,Padova - Turro - Crescenzago,18858,18939,37797,721077,675596,1396673
20,Loreto - Casoretto - NoLo,20903,23101,44004,721077,675596,1396673
21,Buenos Aires - Porta Venezia - Porta Monforte,32844,29527,62371,721077,675596,1396673
22,Citta' studi,19315,16792,36107,721077,675596,1396673
23,Lambrate - Ortica,6247,5932,12179,721077,675596,1396673
24,Parco Forlanini - Cavriano,616,1722,2338,721077,675596,1396673
25,Corsica,10513,9019,19532,721077,675596,1396673
26,XXII Marzo,16944,14577,31521,721077,675596,1396673
27,Pta Romana,8673,7776,16449,721077,675596,1396673
28,Umbria - Molise - Calvairate,11885,10884,22769,721077,675596,1396673
29,Ortomercato,1972,2177,4149,721077,675596,1396673
30,Taliedo - Morsenchio - Q.re Forlanini,10240,9168,19408,721077,675596,1396673
31,Monlue' - Ponte Lambro,2382,2878,5260,721077,675596,1396673
32,Triulzo Superiore,698,985,1683,721077,675596,1396673
33,Rogoredo - Santa Giulia,5678,5992,11670,721077,675596,1396673
34,Chiaravalle,476,540,1016,721077,675596,1396673
35,Lodi - Corvetto,18905,17956,36861,721077,675596,1396673
36,Scalo Romana,5825,6348,12173,721077,675596,1396673
37,Morivione,3972,3756,7728,721077,675596,1396673
38,Vigentino - Q.re Fatima,7967,7460,15427,721077,675596,1396673
39,Quintosole,142,777,919,721077,675596,1396673
40,Ronchetto delle Rane,358,379,737,721077,675596,1396673
41,Gratosoglio - Q.re Missaglia - Q.re Terrazze,9782,8791,18573,721077,675596,1396673
42,Stadera - Chiesa Rossa - Q.re Torretta - Conca Fallata,15115,14300,29415,721077,675596,1396673
43,Tibaldi,6008,5486,11494,721077,675596,1396673
44,Porta Ticinese - Conchetta,8859,8019,16878,721077,675596,1396673
45,Moncucco - San Cristoforo,6959,6860,13819,721077,675596,1396673
46,Barona,8782,7876,16658,721077,675596,1396673
47,Cantalupa,265,321,586,721077,675596,1396673
48,Ronchetto sul Naviglio - Q.re Lodovico il Moro,7675,6901,14576,721077,675596,1396673
49,Giambellino,16166,14726,30892,721077,675596,1396673
50,Porta Genova,8240,6972,15212,721077,675596,1396673
51,Porta Magenta,14785,12010,26795,721077,675596,1396673
52,Bande Nere,23667,20381,44048,721077,675596,1396673
53,Lorenteggio,7476,6805,14281,721077,675596,1396673
54,Muggiano,1573,1515,3088,721077,675596,1396673
55,Baggio - Q.re degli Olmi - Q.re Valsesia,15829,14605,30434,721077,675596,1396673
56,Forze Armate,13117,12064,25181,721077,675596,1396673
57,San Siro,13586,13067,26653,721077,675596,1396673
58,De Angeli - Monte Rosa,11845,9818,21663,721077,675596,1396673
59,Tre Torri,1271,1119,2390,721077,675596,1396673
60,Stadio - Ippodromi,6748,6402,13150,721077,675596,1396673
61,Quarto Cagnino,5188,4704,9892,721077,675596,1396673
62,Quinto Romano,2419,2292,4711,721077,675596,1396673
63,Figino,1285,1258,2543,721077,675596,1396673
64,Trenno,2019,1951,3970,721077,675596,1396673
65,Q.re Gallaratese - Q.re San Leonardo - Lampugnano,17233,15253,32486,721077,675596,1396673
66,QT 8,2191,1848,4039,721077,675596,1396673
67,Portello,4736,4276,9012,721077,675596,1396673
68,Pagano,9482,8339,17821,721077,675596,1396673
69,Sarpi,16603,14360,30963,721077,675596,1396673
70,Ghisolfa,9476,8575,18051,721077,675596,1396673
71,Villapizzone - Cagnola - Boldinasco,20988,20531,41519,721077,675596,1396673
72,Maggiore - Musocco - Certosa,4388,4373,8761,721077,675596,1396673
73,Cascina Merlata,111,832,943,721077,675596,1396673
74,Roserio,115,138,253,721077,675596,1396673
75,Stephenson,76,81,157,721077,675596,1396673
76,Quarto Oggiaro - Vialba - Musocco,16084,15350,31434,721077,675596,1396673
77,Bovisa,6780,7213,13993,721077,675596,1396673
78,Farini,1794,1996,3790,721077,675596,1396673
79,Dergano,11264,12611,23875,721077,675596,1396673
80,Affori,12741,12928,25669,721077,675596,1396673
81,Bovisasca,3800,3482,7282,721077,675596,1396673
82,Comasina,4843,4949,9792,721077,675596,1396673
83,Bruzzano,6546,6151,12697,721077,675596,1396673
84,Parco Nord,49,49,98,721077,675596,1396673
85,Parco delle Abbazie,178,186,364,721077,675596,1396673
86,Parco dei Navigli,145,209,354,721077,675596,1396673
87,Assiano,105,106,211,721077,675596,1396673
88,Parco Bosco in citta',342,348,690,721077,675596,1396673
